D:/dev/sudoku\share\only1\sudoku_1.jpg, 113, 52, 1780, 68, 1833, 1749, 90, 1748
D:/dev/sudoku\share\only1\sudoku_2.jpg, 1618, 802, 3285, 820, 3348, 2499, 1586, 2499
D:/dev/sudoku\share\only1\sudoku_3.jpg, 997, 1483, 2032, 1534, 2049, 2532, 962, 2547
D:/dev/sudoku\share\only1\sudoku_4.jpg, 1246, 1478, 2055, 1488, 2040, 2299, 1232, 2273
D:/dev/sudoku\share\only1\sudoku_5.jpg, 657, 1116, 2520, 1168, 2485, 2971, 648, 2930
D:/dev/sudoku\share\only1\sudoku_6.jpg, 291, 703, 2496, 708, 2508, 2868, 346, 2862
D:/dev/sudoku\share\only1\sudoku_7.jpg, 671, 47, 2464, 482, 2065, 2243, 269, 1834
D:/dev/sudoku\share\only1\sudoku_8.jpg, 727, 1245, 2499, 1250, 2502, 2997, 735, 3007
D:/dev/sudoku\share\only1\sudoku_9.jpg, 2549, 1752, 2499, 3436, 840, 3472, 790, 1772
D:/dev/sudoku\share\only1\sudoku_10.jpg, 1125, 775, 2700, 1710, 1793, 3240, 204, 2351
D:/dev/sudoku\share\only1\sudoku_11.jpg, 273, 966, 2456, 899, 2618, 3017, 381, 3229
D:/dev/sudoku\share\only1\sudoku_12.jpg, 1014, 2036, 2102, 1674, 2691, 2547, 1340, 3141
D:/dev/sudoku\share\only1\sudoku_13.jpg, 1186, 2067, 2174, 1726, 2395, 2738, 1439, 3116
D:/dev/sudoku\share\only1\sudoku_14.jpg, 375, 1028, 2290, 951, 2584, 2816, 541, 2986
D:/dev/sudoku\share\only1\sudoku_15.jpg, 253, 914, 2316, 827, 2648, 2847, 386, 3043
D:/dev/sudoku\share\only1\sudoku_16.jpg, 1221, 1447, 2168, 1390, 2241, 2330, 1279, 2392
D:/dev/sudoku\share\only1\sudoku_17.jpg, 1415, 1723, 1344, 636, 2423, 535, 2521, 1648
D:/dev/sudoku\share\only1\sudoku_18.jpg, 924, 2427, 905, 564, 2748, 491, 2800, 2412
D:/dev/sudoku\share\only1\sudoku_19.jpg, 2686, 1723, 3502, 1718, 3559, 2552, 2713, 2563
D:/dev/sudoku\share\only1\sudoku_20.jpg, 755, 1607, 2174, 1576, 2282, 3007, 727, 3074
D:/dev/sudoku\share\only1\sudoku_21.jpg, 1011, 1850, 1886, 1808, 1953, 2692, 1017, 2723
D:/dev/sudoku\share\only1\sudoku_22.jpg, 587, 1529, 2148, 1524, 2220, 3090, 567, 3126
D:/dev/sudoku\share\only1\sudoku_23.jpg, 747, 1390, 2206, 1374, 2331, 2811, 732, 2883
D:/dev/sudoku\share\only1\sudoku_24.jpg, 735, 1245, 2284, 1224, 2412, 2749, 723, 2816
D:/dev/sudoku\share\only1\sudoku_25.jpg, 747, 1328, 2232, 1307, 2348, 2785, 718, 2831
D:/dev/sudoku\share\only1\sudoku_26.jpg, 788, 2945, 1590, 2909, 1668, 3787, 741, 3865
D:/dev/sudoku\share\only1\sudoku_27.jpg, 1296, 1819, 1296, 901, 2206, 863, 2228, 1816
D:/dev/sudoku\share\only1\sudoku_28.jpg, 1127, 2543, 1116, 541, 3198, 317, 3260, 2688
D:/dev/sudoku\share\only1\sudoku_29.jpg, 55, 63, 369, 53, 390, 391, 25, 390
D:/dev/sudoku\share\only1\sudoku_30.jpg, 1623, 799, 3296, 817, 3337, 2502, 1586, 2499
D:/dev/sudoku\share\only1\sudoku_31.jpg, 494, 1256, 2313, 1219, 2427, 3095, 468, 3167
D:/dev/sudoku\share\only1\sudoku_32.jpg, 799, 1188, 2496, 1416, 2351, 3183, 532, 2955
D:/dev/sudoku\share\only1\sudoku_33.jpg, 698, 1219, 2110, 1410, 2040, 2852, 477, 2707
D:/dev/sudoku\share\only1\sudoku_34.jpg, 712, 1318, 2124, 1235, 2249, 2650, 790, 2764
D:/dev/sudoku\share\only1\sudoku_35.jpg, 820, 1374, 2209, 1116, 2508, 2511, 1067, 2795
D:/dev/sudoku\share\only1\sudoku_36.jpg, 494, 1602, 1822, 1194, 2287, 2516, 930, 3012
D:/dev/sudoku\share\only1\sudoku_37.jpg, 852, 1462, 1831, 1116, 2249, 2041, 1212, 2434
D:/dev/sudoku\share\only1\sudoku_38.jpg, 668, 1591, 2287, 1390, 2569, 2997, 863, 3265
D:/dev/sudoku\share\only1\sudoku_39.jpg, 587, 1374, 2363, 1240, 2549, 2997, 724, 3178
D:/dev/sudoku\share\only1\sudoku_40.jpg, 825, 1457, 2159, 1380, 2293, 2733, 886, 2842
D:/dev/sudoku\share\only1\sudoku_41.jpg, 526, 1720, 1901, 1488, 2188, 2888, 729, 3157
D:/dev/sudoku\share\only1\sudoku_42.jpg, 372, 1534, 2026, 1380, 2238, 3054, 500, 3276
